#,Name,Type / Medium,Year (approx.),Idea or Message,Why It Is Significant,Source
1,Lascaux “Chambre des Taureaux” constellation motif,Cave painting in ochre and charcoal,"c. 17,000 BCE",Records early sky-watching; links animal myth to stellar pattern,"Possibly the earliest graphic depiction of a known star cluster, showing Paleolithic cognitive mapping of the heavens

Возможно, это самое раннее графическое изображение известного звездного скопления, демонстрирующее палеолитическую когнитивную карту небес",http://ui.adsabs.harvard.edu/abs/1997ascu.conf..217R/abstract
2,Nebra Sky Disc,Bronze disc inlaid with gold,"c. 1,800 BCE",Synchronizes lunar–solar calendars; blends empirical observation with myth,"Oldest concrete image of the cosmos on metal; rewrites Bronze-Age astronomical capability

Древнейшее конкретное изображение космоса на металле; воссоздает астрономические возможности бронзового века",https://en.wikipedia.org/wiki/Nebra_sky_disc
3,Tomb of Senenmut Astronomical Ceiling,Painted plaster vault,"c. 1,465 BCE",Maps time for ritual afterlife navigation,"Earliest Egyptian star ceiling and prototype for later zodiacal art

Самый ранний египетский звездный потолок и прототип более позднего зодиакального искусства",https://en.wikipedia.org/wiki/Astronomical_ceiling_of_Senenmut's_Tomb
4,Dendera Zodiac,Sandstone bas-relief,50 BCE,Hellenistic–Egyptian synthesis of cosmology and divination,"First complete ancient sky map in round form; influenced Greco-Roman astrology

Первая полная карта древнего неба в круглой форме; оказала влияние на греко-римскую астрологию",https://en.wikipedia.org/wiki/Dendera_zodiac
5,Babylonian MUL.APIN Tablets,Clay cuneiform lists,"c. 1,000 BCE (canonical)",Creates standardized celestial catalogue for ritual and science,"Forerunner of the 12-sign zodiac and modern stellar cataloguing

Предшественник 12-знакового зодиака и современной звездной каталогизации",https://handwiki.org/wiki/Astronomy:Babylonian_star_catalogues
6,Farnese Atlas,Marble sculpture,2nd C CE (copy of 2nd C BCE original),Embodies cosmos as burden of knowledge,"Oldest surviving 3-D star globe; physical bridge between myth and astronomy

Старейший из сохранившихся трехмерных звездных глобусов; физический мост между мифом и астрономией",https://www.electrummagazine.com/2016/09/the-farnese-atlas/
7,Dunhuang Star Chart,Ink on mulberry paper scroll,649-684 CE,Integrates rival Chinese astronomical traditions,"World’s earliest full star atlas on paper; shows global diversity of sky mapping

Самый ранний в мире полный звездный атлас на бумаге; отображает глобальное разнообразие карт звездного неба",https://www.nature.com/articles/459778a
8,"Al-Sūfī,Book of Fixed Stars",Illuminated manuscript,964 CE,Harmonizes Greek science with Islamic observations,"Standard celestial reference across Islamic world for centuries

Стандартная небесная система отсчета в исламском мире на протяжении веков",https://www.loc.gov/item/2021667391/
9,"Giotto,Adoration of the Magi",Fresco,1304-06,Unites biblical narrative with observed astronomy,"First realistic comet in Western art; points to empirical eye in Renaissance faith

Первая реалистическая комета в западном искусстве; указывает на эмпирический взгляд в вере эпохи Возрождения",https://www.wga.hu/html_m/g/giotto/padova/3christ/chris02.html
10,"Hevelius,Firmamentum Sobiescianum",Copperplate star atlas,1690,Updates naked-eye catalogue after telescopic age dawn,"Rivals Bayer’sUranometria; last great pre-telescopic atlas

Конкуренты Bayer's Uranometria; последний великолепный атлас до телескопической разработки",https://www.lindahall.org/experience/digital-exhibitions/out-of-this-world/22-the-innovations-of-hevelius-1690-1731/
11,"Holbein,The Ambassadors",Oil on oak panel,1533,Humanist mastery vs. cosmic memento mori,"Encodes astronomical data and moral allegory in Tudor portraiture

Содержит астрономические данные и моральные аллегории в портретах эпохи Тюдоров",https://artsandculture.google.com/story/life-death-and-our-place-in-the-universe-the-ambassadors-the-national-gallery-london/hwVxE5U3Vl1xIg
12,"Wright of Derby,A Philosopher Lecturing on the Orrery",Oil on canvas,1766,Democratises scientific wonder,"Icon of Enlightenment faith in heliocentric reason

Символ Просвещения, веры в гелиоцентрический разум",https://www.europeana.eu/en/item/2063624/UK_280_003
13,"Vincent van Gogh,The Starry Night",Oil on canvas,1889,Conveys turbulent psyche and spiritual yearning,"Modern art’s archetype of cosmic expressionism

Архетип космического экспрессионизма в современном искусстве",https://www.moma.org/collection/works/79802
14,"Ansel Adams,Moonrise, Hernandez",Silver-gelatin photograph,1941,Juxtaposes eternal sky with mortal landscape,"Landmark in environmental photography and darkroom craft

Веха в области экологической фотографии и создания фотолабораторий",https://www.anseladams.com/a-halloween-story-moonrise-hernandez/
15,"James Turrell,Roden Crater",Land-art observatory,1977-present,Turns landscape into naked-eye cosmological instrument,"Magnum opus of “Light and Space” movement; merges art, geology, astronomy

Ключевая работа движения “Свет и пространство”, объединяющее искусство, геологию, астрономию","https://rodencrater.com/spaces/all/

https://www.architime.ru/specarch/james_turrell/roden_crater.htm#1.jpg

https://art.art/blog/roden-crater-james-turrell"
16,"Yayoi Kusama,Infinity Dots Mirrored Room",Mirror-paneled LED environment,"1996 (Tokyo) / 2012-ongoing iterations

Самоуничтожение в безграничной вселенной",Self-obliteration within boundless universe,"Pop/psychedelic bridge between inner psyche and cosmic infinity

Поп- и психоделический мост между внутренним миром души и космической бесконечностью",https://hirshhorn.si.edu/kusama/infinity-rooms/
17,"Olafur Eliasson,The Weather Project","Monofrequency lamps, mist, mirror",2003,"Questions climate, perception, collective experience

Вопросы климата, восприятия, коллективного опыта","Drew 2 million visitors; milestone of relational/eco installation art

Собрал 2 миллиона посетителей; веха в развитии искусства реляционных/эко-инсталляций

— Появление технической возможнотсти точно передать восприятие от солнца внутри помещения. Сопровожденная научно, работа не просто эмулирует солнце,  дает возможность увидеть его, “не щурясь”, рассмотреть","https://olafureliasson.net/exhibition/the-weather-project-2003/

https://www.theguardian.com/artanddesign/2018/oct/02/how-we-made-olafur-eliasson-the-weather-project"
18,"Trevor Paglen,The Last Pictures",Etched nano-disk on EchoStar XVI satellite,2012,"Time-capsule of civilization for deep future; critiques anthropocene legacy

Временная капсула цивилизации для глубокого будущего; критика наследия антропоцена","Art that literally leaves the planet

Искусство, которое буквально покидает планету","https://paglen.studio/2020/01/21/the-last-pictures/

https://paglen.studio/lastpictures/

https://creativetime.org/projects/the-last-pictures/the-pictures/

https://www.societyandspace.org/articles/the-last-pictures-by-trevor-paglen"
19,"Kimchi & Chips,HALO",99 robotic mirrors + mist,2018,"Fuses computation, solar power, and ephemeral optics

Объединяет вычислительную технику, солнечную энергию и эфемерную оптику","Demonstrates urban harnessing of natural light; poetic tech-nature dialogue

Демонстрирует использование естественного света в городских условиях; поэтичный диалог технологий и природы

— Использования света солнца для создания объекта. Звезда становиться инструментом, не объектом или источником вдохновления","https://www.kimchiandchips.com/works/halo/

https://www.creativeapplications.net/project/halo-sculpting-the-sunlight-into-immaterial-form/

https://www.flickr.com/photos/parkylondon/28195636887"
20,"Katie Paterson,All the Dead Stars",Laser-etched anodized aluminum map,2009,"Visualizes cosmic mortality and data sublime

Визуализирует космическую смертность и возвышенные данные",Bridges astrophysics and elegy; ever-expanding catalogue,"https://katiepaterson.org/artwork/all-the-dead-stars/

http://artistsbooksandmultiples.blogspot.com/2014/01/katie-paterson-all-dead-stars.html"
21,"Robert Hodgin,Solar Transits",Generative algorithmic daguerreotypes,2023,Melds nostalgia for early astrophotography with blockchain age,Shows how digital generative art renews centuries-old sky iconography,https://www.artblocks.io/legacy/info/spectrum/in-conversation-with-robert-hodgin-on-solar-transits
,"Лара Федорова, Лунограммы",Лунограммы,2020 – present,,,
,"Александра Паперно, «Отмененные созвездия»",Картины,,,,